Entity1,Relationship,Entity2,Property
红耳彩龟,HAS_ALIAS,Trachemys scripta elegans,type=学名
红耳彩龟,HAS_ALIAS,巴西龟,type=俗名
红耳彩龟,HAS_ALIAS,巴西彩龟,type=俗名
红耳彩龟,BELONGS_TO,泽龟科,rank=科
红耳彩龟,BELONGS_TO,彩龟属,rank=属
红耳彩龟,HAS_MORPHOLOGY,体长约25-30厘米,null
红耳彩龟,HAS_MORPHOLOGY,体重约0.75千克,null
红耳彩龟,HAS_MORPHOLOGY,头部较小吻部圆钝,null
红耳彩龟,HAS_MORPHOLOGY,头颈部具黄绿色纵条纹,null
红耳彩龟,HAS_MORPHOLOGY,眼后具一对红色斑块,null
红耳彩龟,HAS_MORPHOLOGY,背甲扁平呈翠绿色或苹果色,null
红耳彩龟,HAS_MORPHOLOGY,中央具有一条显著脊棱,null
红耳彩龟,HAS_MORPHOLOGY,盾片上具黄绿色相间环状条纹,null
红耳彩龟,HAS_MORPHOLOGY,腹甲淡黄色具左右对称的黑色环状斑纹,null
红耳彩龟,NATIVE_TO,美国南部,null
美国南部,LOCATED_IN,美国,null
红耳彩龟,NATIVE_TO,墨西哥东北部,null
墨西哥东北部,LOCATED_IN,墨西哥,null
红耳彩龟,THRIVES_IN,池塘,null
红耳彩龟,THRIVES_IN,湖泊,null
红耳彩龟,THRIVES_IN,河塘,null
红耳彩龟,HAS_HABIT,对水声和振动较为敏感,null
红耳彩龟,HAS_HABIT,遇惊扰时迅速潜入水中,null
红耳彩龟,HAS_HABIT,适宜生长温度为20-35℃,null
红耳彩龟,PREYS_ON,小鱼,severity=自然条件下摄食
红耳彩龟,PREYS_ON,小虾,severity=自然条件下摄食
红耳彩龟,PREYS_ON,蝌蚪,severity=自然条件下摄食
红耳彩龟,PREYS_ON,蚯蚓,severity=自然条件下摄食
红耳彩龟,PREYS_ON,植物嫩茎叶,severity=自然条件下摄食
红耳彩龟,INTRODUCED_VIA,人为引入,null
红耳彩龟,CAUSES,对引入地的生态环境安全和生物多样性构成严重威胁,type=生态危害
红耳彩龟,CAUSES,掠夺其他生物的生存资源,type=生态危害
红耳彩龟,COMPETES_WITH,本土龟类,severity=竞争食物栖息地和产卵场所
红耳彩龟,CAUSES,威胁本地物种的生存,type=生态危害
红耳彩龟,CAUSES,破坏生态系统平衡,type=生态危害
红耳彩龟,CAUSES,携带多种致病菌和寄生虫,type=健康危害
红耳彩龟,CAUSES,传播吸虫线虫和沙门氏杆菌,type=健康危害
红耳彩龟,CAUSES,对人类健康构成威胁,type=健康危害
红耳彩龟,SUPPRESSED_BY,加强公众宣传教育,method=物理
红耳彩龟,SUPPRESSED_BY,立法控制进出口数量,method=物理
红耳彩龟,SUPPRESSED_BY,严厉打击走私活动,method=物理
红耳彩龟,SUPPRESSED_BY,提高进口税率限制进口数量,method=物理
红耳彩龟,SUPPRESSED_BY,编制并发布入侵防控指南,method=物理
红耳彩龟,SUPPRESSED_BY,设立专门机构监测入侵情况,method=物理
红耳彩龟,SUPPRESSED_BY,采取诱捕措施控制种群密度,method=物理
红耳彩龟,SUPPRESSED_BY,修订外来生物法禁止出售和放生,method=物理
